A;142;20010720 10:12;PDANN;
D;142;1513195;41;20010720 10:12;V;;;;;;
D;142;1513195;41;20010720 10:12;V;;;;;;
B;142;1513238;42;20010720 10:12;;4;80;BEACONSFIELD ST;BEXLEY;2207;;;20010409;20010524;296000;;R;;4;;;;7717715;
C;142;1513238;42;20010720 10:12;4//7294;
D;142;1513238;42;20010720 10:12;P;;;;;;
D;142;1513238;42;20010720 10:12;P;;;;;;
D;142;1513238;42;20010720 10:12;V;;;;;;
D;142;1513238;42;20010720 10:12;V;;;;;;
B;142;1513238;43;20010720 10:12;;5;80;BEACONSFIELD ST;BEXLEY;2207;;;20010409;20010524;296000;;R;;5;;;;7717715;
C;142;1513238;43;20010720 10:12;5//7294;
D;142;1513238;43;20010720 10:12;P;;;;;;
D;142;1513238;43;20010720 10:12;P;;;;;;
D;142;1513238;43;20010720 10:12;V;;;;;;
D;142;1513238;43;20010720 10:12;V;;;;;;
B;142;1513423;44;20010720 10:12;;;6;BELLEVUE ST;ARNCLIFFE;2205;;;20010322;20010405;371000;A;R;;;XG;;;7664212;
C;142;1513423;44;20010720 10:12;3/N/2271;
D;142;1513423;44;20010720 10:12;P;;;;;;
D;142;1513423;44;20010720 10:12;V;;;;;;
B;142;1513444;45;20010720 10:12;;;43;BELLEVUE ST;ARNCLIFFE;2205;;;20010423;20010423;0;A;R;;;XG;;;7727389;
C;142;1513444;45;20010720 10:12;17/I/2271;
D;142;1513444;45;20010720 10:12;P;;;;;;
D;142;1513444;45;20010720 10:12;V;;;;;;
B;142;1513524;46;20010720 10:12;;8;20;BELMORE ST;ARNCLIFFE;2205;;;20010504;20010524;102500;;R;;8;;;;7682530;
C;142;1513524;46;20010720 10:12;8//5291;
D;142;1513524;46;20010720 10:12;P;;;;;;
D;142;1513524;46;20010720 10:12;V;;;;;;
D;142;1513524;46;20010720 10:12;V;;;;;;
B;142;1513638;47;20010720 10:12;;;25;BERITH ST;KINGSGROVE;2208;;;20010607;20010607;0;A;R;;;MA;;;7703897;
C;142;1513638;47;20010720 10:12;63//7783;
D;142;1513638;47;20010720 10:12;P;;;;;;
D;142;1513638;47;20010720 10:12;V;;;;;;
B;142;1513768;48;20010720 10:12;;;160;BESTIC ST;BRIGHTON-LE-SANDS;2216;170.7;M;20010330;20010605;305000;B;R;;;BZ;;;7672285;
C;142;1513768;48;20010720 10:12;B//108404;
D;142;1513768;48;20010720 10:12;P;;;;;;
D;142;1513768;48;20010720 10:12;P;;;;;;
D;142;1513768;48;20010720 10:12;V;;;;;;
D;142;1513768;48;20010720 10:12;V;;;;;;
B;142;1513964;49;20010720 10:12;;1;376;BEXLEY RD;BEXLEY;2207;;;20010410;20010517;245000;;R;;1;;;;7684368;
C;142;1513964;49;20010720 10:12;1//3434;
D;142;1513964;49;20010720 10:12;P;;;;;;
D;142;1513964;49;20010720 10:12;P;;;;;;
D;142;1513964;49;20010720 10:12;V;;;;;;
D;142;1513964;49;20010720 10:12;V;;;;;;
B;142;1513964;50;20010720 10:12;;6;376;BEXLEY RD;BEXLEY;2207;;;20010410;20010517;245000;;R;;6;;;;7684368;
C;142;1513964;50;20010720 10:12;6//3434;
D;142;1513964;50;20010720 10:12;P;;;;;;
D;142;1513964;50;20010720 10:12;P;;;;;;
D;142;1513964;50;20010720 10:12;V;;;;;;
B;142;1514036;51;20010720 10:12;;;15;BONALBO ST;KINGSGROVE;2208;;;20010228;20010412;335000;A;3;NULL;;XL;;;7686559;
C;142;1514036;51;20010720 10:12;69//15431;
D;142;1514036;51;20010720 10:12;P;;;;;;
D;142;1514036;51;20010720 10:12;V;;;;;;
D;142;1514036;51;20010720 10:12;V;;;;;;
B;142;1514057;52;20010720 10:12;;;3030;BONANZA PDE;SANS SOUCI;2219;;;20010212;20010212;0;A;R;;;XA;;;7681266;
C;142;1514057;52;20010720 10:12;58//2008;
D;142;1514057;52;20010720 10:12;P;;;;;;
D;142;1514057;52;20010720 10:12;P;;;;;;
D;142;1514057;52;20010720 10:12;V;;;;;;
B;142;1514076;53;20010720 10:12;;;31;BONANZA PDE;SANS SOUCI;2219;;;20010307;20010528;580000;A;V;;;XA;;;7722505;
C;142;1514076;53;20010720 10:12;91//2008;
